configuration                           straight-line     loop-heavy     load-heavy
freeze, F16 R40, no fwd                          16.6           43.2           60.0
freeze, F16 R40, fwd                             16.3           42.8           59.6
drain, F16 R40, no fwd                           16.0           33.5           47.5
drain, F16 R40, fwd                              16.0           33.5           47.5
drain, F16 R24 (continuous read)                 16.0           28.7           41.1
drain, F16 R24 + 1-entry BTC                     16.0           25.5           39.5
drain, F8 R12 (SCK = core)                        8.0           14.7           21.1
drain, F8 R12 + 1-entry BTC                       8.0           13.1           20.3
on-chip program, no fwd                           1.6            1.8            1.8
on-chip program, fwd                              1.0            1.0            1.0

core cycles per instruction, lower is better; mixes are (taken-branch, load/store, dependent) fractions
